count,region,catoROI,msbpROI,annotLabel,hemi
1,ctx-lh-bankssts_1,1002,235,100,lh
2,ctx-lh-bankssts_2,1003,236,101,lh
3,ctx-lh-caudalanteriorcingulate_1,1004,176,41,lh
4,ctx-lh-caudalmiddlefrontal_1,1005,162,27,lh
5,ctx-lh-caudalmiddlefrontal_2,1006,163,28,lh
6,ctx-lh-caudalmiddlefrontal_3,1007,164,29,lh
7,ctx-lh-cuneus_1,1008,209,74,lh
8,ctx-lh-entorhinal_1,1009,225,90,lh
9,ctx-lh-fusiform_1,1010,220,85,lh
10,ctx-lh-fusiform_2,1011,221,86,lh
11,ctx-lh-fusiform_3,1012,222,87,lh
12,ctx-lh-fusiform_4,1013,223,88,lh
13,ctx-lh-inferiorparietal_1,1014,199,64,lh
14,ctx-lh-inferiorparietal_2,1015,200,65,lh
15,ctx-lh-inferiorparietal_3,1016,201,66,lh
16,ctx-lh-inferiorparietal_4,1017,202,67,lh
17,ctx-lh-inferiorparietal_5,1018,203,68,lh
18,ctx-lh-inferiortemporal_1,1019,227,92,lh
19,ctx-lh-inferiortemporal_2,1020,228,93,lh
20,ctx-lh-inferiortemporal_3,1021,229,94,lh
21,ctx-lh-inferiortemporal_4,1022,230,95,lh
22,ctx-lh-isthmuscingulate_1,1023,179,44,lh
23,ctx-lh-lateraloccipital_1,1024,211,76,lh
24,ctx-lh-lateraloccipital_2,1025,212,77,lh
25,ctx-lh-lateraloccipital_3,1026,213,78,lh
26,ctx-lh-lateraloccipital_4,1027,214,79,lh
27,ctx-lh-lateraloccipital_5,1028,215,80,lh
28,ctx-lh-lateralorbitofrontal_1,1029,136,1,lh
29,ctx-lh-lateralorbitofrontal_2,1030,137,2,lh
30,ctx-lh-lateralorbitofrontal_3,1031,138,3,lh
31,ctx-lh-lateralorbitofrontal_4,1032,139,4,lh
32,ctx-lh-lingual_1,1033,216,81,lh
33,ctx-lh-lingual_2,1034,217,82,lh
34,ctx-lh-lingual_3,1035,218,83,lh
35,ctx-lh-lingual_4,1036,219,84,lh
36,ctx-lh-medialorbitofrontal_1,1037,142,7,lh
37,ctx-lh-medialorbitofrontal_2,1038,143,8,lh
38,ctx-lh-middletemporal_1,1039,231,96,lh
39,ctx-lh-middletemporal_2,1040,232,97,lh
40,ctx-lh-middletemporal_3,1041,233,98,lh
41,ctx-lh-middletemporal_4,1042,234,99,lh
42,ctx-lh-parahippocampal_1,1043,224,89,lh
43,ctx-lh-paracentral_1,1044,173,38,lh
44,ctx-lh-paracentral_2,1045,174,39,lh
45,ctx-lh-parsopercularis_1,1046,145,10,lh
46,ctx-lh-parsopercularis_2,1047,146,11,lh
47,ctx-lh-parsorbitalis_1,1048,140,5,lh
48,ctx-lh-parstriangularis_1,1049,144,9,lh
49,ctx-lh-pericalcarine_1,1050,210,75,lh
50,ctx-lh-postcentral_1,1051,180,45,lh
51,ctx-lh-postcentral_2,1052,181,46,lh
52,ctx-lh-postcentral_3,1053,182,47,lh
53,ctx-lh-postcentral_4,1054,183,48,lh
54,ctx-lh-postcentral_5,1055,184,49,lh
55,ctx-lh-postcentral_6,1056,185,50,lh
56,ctx-lh-postcentral_7,1057,186,51,lh
57,ctx-lh-posteriorcingulate_1,1058,177,42,lh
58,ctx-lh-posteriorcingulate_2,1059,178,43,lh
59,ctx-lh-precentral_1,1060,165,30,lh
60,ctx-lh-precentral_2,1061,166,31,lh
61,ctx-lh-precentral_3,1062,167,32,lh
62,ctx-lh-precentral_4,1063,168,33,lh
63,ctx-lh-precentral_5,1064,169,34,lh
64,ctx-lh-precentral_6,1065,170,35,lh
65,ctx-lh-precentral_7,1066,171,36,lh
66,ctx-lh-precentral_8,1067,172,37,lh
67,ctx-lh-precuneus_1,1068,204,69,lh
68,ctx-lh-precuneus_2,1069,205,70,lh
69,ctx-lh-precuneus_3,1070,206,71,lh
70,ctx-lh-precuneus_4,1071,207,72,lh
71,ctx-lh-precuneus_5,1072,208,73,lh
72,ctx-lh-rostralanteriorcingulate_1,1073,175,40,lh
73,ctx-lh-rostralmiddlefrontal_1,1074,147,12,lh
74,ctx-lh-rostralmiddlefrontal_2,1075,148,13,lh
75,ctx-lh-rostralmiddlefrontal_3,1076,149,14,lh
76,ctx-lh-rostralmiddlefrontal_4,1077,150,15,lh
77,ctx-lh-rostralmiddlefrontal_5,1078,151,16,lh
78,ctx-lh-rostralmiddlefrontal_6,1079,152,17,lh
79,ctx-lh-superiorfrontal_1,1080,153,18,lh
